Timestamp	Filename	Error	Message
2023-02-10 11:44:30.230 +0800	PESANAN BARANG.fmp12	0	Table “NOTA PENGELUARAN BARANG” imported as “NOTA PENGELUARAN BARANG 2” since a table or table occurrence named “NOTA PENGELUARAN BARANG” already exists.
2023-02-10 11:44:30.247 +0800	NOTA PENGELUARAN BARANG 2	0	fields imported : 8
2023-02-10 11:44:30.248 +0800	PESANAN BARANG.fmp12	0	tables imported : 1
2023-02-10 11:44:30.249 +0800	PESANAN BARANG.fmp12	0	Import completed
2023-02-10 11:44:59.880 +0800	PESANAN BARANG.fmp12	0	Import of tables from clipboard started
2023-02-10 11:44:59.897 +0800	PESANAN BARANG.fmp12	0	Table “NOTA PENGELUARAN BARANG” imported as “NOTA PENGELUARAN BARANG 2” since a table or table occurrence named “NOTA PENGELUARAN BARANG” already exists.
2023-02-10 11:44:59.915 +0800	NOTA PENGELUARAN BARANG 2	0	fields imported : 8
2023-02-10 11:44:59.916 +0800	PESANAN BARANG.fmp12	0	tables imported : 1
2023-02-10 11:44:59.917 +0800	PESANAN BARANG.fmp12	0	Import completed
2023-02-10 11:45:17.074 +0800	PESANAN BARANG.fmp12	0	Import operations committed
2023-02-10 11:45:17.088 +0800	PESANAN BARANG.fmp12	0	==================================================================
2023-03-01 12:04:49.762 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 12:04:49.777 +0800	ValidasiCOA	0	script steps imported : 1
2023-03-01 12:04:49.777 +0800	GL.fmp12	0	Import completed
2023-03-01 12:05:03.809 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 12:05:03.809 +0800	ValidasiCOA	0	script steps imported : 1
2023-03-01 12:05:03.809 +0800	GL.fmp12	0	Import completed
2023-03-01 13:07:16.499 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 13:07:16.499 +0800	ValidasiCOA	0	script steps imported : 1
2023-03-01 13:07:16.499 +0800	GL.fmp12	0	Import completed
2023-03-01 13:43:06.415 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 13:43:06.423 +0800	ValidasiCOA	0	script steps imported : 3
2023-03-01 13:43:06.423 +0800	GL.fmp12	0	Import completed
2023-03-01 13:49:41.503 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 13:49:41.533 +0800	ValidasiCOA	0	script steps imported : 24
2023-03-01 13:49:41.535 +0800	GL.fmp12	0	Import completed
2023-03-01 14:11:56.177 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 14:11:56.185 +0800	InputCOA	0	script steps imported : 1
2023-03-01 14:11:56.186 +0800	GL.fmp12	0	Import completed
2023-03-01 15:35:04.809 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 15:35:04.818 +0800	Validasi	0	script steps imported : 2
2023-03-01 15:35:04.820 +0800	GL.fmp12	0	Import completed
2023-03-01 15:51:37.635 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 15:51:37.649 +0800	Validasi	0	script steps imported : 8
2023-03-01 15:51:37.651 +0800	GL.fmp12	0	Import completed
2023-03-01 15:52:24.378 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 15:52:24.382 +0800	Validasi	3702	Unknown Error: <unknown>.
2023-03-01 15:52:24.385 +0800	Validasi	0	script steps imported : 12
2023-03-01 15:52:24.386 +0800	GL.fmp12	0	Import completed
2023-03-01 15:57:09.045 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 15:57:09.059 +0800	Validasi	0	script steps imported : 1
2023-03-01 15:57:09.061 +0800	GL.fmp12	0	Import completed
2023-03-01 16:08:46.579 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:08:46.582 +0800	Validasi	0	script steps imported : 12
2023-03-01 16:08:46.584 +0800	GL.fmp12	0	Import completed
2023-03-01 16:19:08.489 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:19:08.505 +0800	Validasi	0	script steps imported : 3
2023-03-01 16:19:08.505 +0800	GL.fmp12	0	Import completed
2023-03-01 16:31:11.865 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:31:11.911 +0800	Validasi	0	script steps imported : 27
2023-03-01 16:31:11.911 +0800	GL.fmp12	0	Import completed
2023-03-01 16:31:43.705 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:31:43.722 +0800	Validasi	0	script steps imported : 12
2023-03-01 16:31:43.722 +0800	GL.fmp12	0	Import completed
2023-03-01 16:39:50.205 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:39:50.221 +0800	Validasi	0	script steps imported : 39
2023-03-01 16:39:50.221 +0800	GL.fmp12	0	Import completed
2023-03-01 16:40:50.940 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:40:50.940 +0800	Validasi	0	script steps imported : 12
2023-03-01 16:40:50.940 +0800	GL.fmp12	0	Import completed
2023-03-01 16:48:41.395 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:48:41.395 +0800	Validasi	0	script steps imported : 2
2023-03-01 16:48:41.395 +0800	GL.fmp12	0	Import completed
